Stock Quotes for AES,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2005-01-04,13.54,13.62,13.04,13.05,2242500,12.458076
2005-01-05,13.15,13.21,13,13.02,2073800,12.429437
2005-01-06,13.02,13.1,12.53,13.03,1909200,12.438983
2005-01-07,12.98,13.2,12.83,12.84,900600,12.257601
2005-01-10,12.94,13.21,12.75,13.12,2095700,12.524901
2005-01-11,13.01,13.07,12.82,12.98,1410300,12.39125
2005-01-12,12.97,13.35,12.8,13.31,2140300,12.706283
2005-01-13,13.31,13.55,13.24,13.31,2715600,12.706283
2005-01-14,13.45,13.5,13.32,13.45,1461100,12.839932
2005-01-18,13.5,13.96,13.5,13.82,3143500,13.19315
2005-01-19,13.84,13.98,13.65,13.69,1706700,13.069046
2005-01-20,13.69,13.87,13.69,13.81,2056600,13.183604
2005-01-21,13.8,13.93,13.74,13.81,1567600,13.183604
2005-01-24,13.86,13.97,13.79,13.89,1631300,13.259975
2005-01-25,13.89,13.99,13.65,13.65,1806100,13.03086
2005-01-26,13.75,13.79,13.66,13.75,1371600,13.126325
2005-01-27,13.68,13.78,13.67,13.72,1485300,13.097686
2005-01-28,13.72,13.81,13.58,13.79,1769800,13.164511
2005-01-31,13.99,14.1,13.95,14.05,1845500,13.412718
2005-02-01,14.05,14.37,14.04,14.29,3103100,13.641832
2005-02-02,14.31,14.51,14.28,14.48,3052600,13.823213
2005-02-03,14.51,14.98,14.5,14.94,3384400,14.262348
2005-02-04,14.98,15.39,14.95,15.19,4440600,14.501009
2005-02-07,15.24,15.27,15.03,15.06,2183400,14.376906
2005-02-08,15.1,15.3,15.06,15.23,1762600,14.539194
2005-02-09,15.2,15.27,14.99,15.11,2061500,14.424638
2005-02-10,15.11,15.4,15.11,15.36,2857500,14.663298
2005-02-11,15.4,15.62,15.33,15.53,3757700,14.825587
2005-02-14,15.5,15.6,15.38,15.57,3797300,14.863773
2005-02-15,15.51,15.77,15.46,15.71,3559100,14.997423
2005-02-16,15.7,16.110001,15.65,16.049999,3374800,15.322
2005-02-17,16.200001,16.59,16.15,16.48,6192300,15.732497
2005-02-18,16.5,16.690001,16.41,16.59,3467900,15.837508
2005-02-22,16.5,16.5,15.9,16.059999,3448900,15.331547
2005-02-23,16.040001,16.23,15.78,16.219999,2939500,15.48429
2005-02-24,16.280001,16.5,16.08,16.48,2323000,15.732497
2005-02-25,16.5,17.040001,16.49,16.809999,3654900,16.047528
2005-02-28,16.790001,16.870001,16.6,16.74,2733600,15.980704
2005-03-01,16.76,16.9,16.59,16.879999,2380500,16.114353
2005-03-02,16.75,17.129999,16.59,16.99,3300100,16.219364
2005-03-03,17.09,17.139999,16.93,17.059999,2554400,16.286189
2005-03-04,17.299999,17.6,17.23,17.52,4918000,16.725325
2005-03-07,17.75,18.129999,17.65,17.65,2901500,16.849428
2005-03-08,17.5,17.639999,17.25,17.299999,2895800,16.515303
2005-03-09,17.17,17.42,16.559999,16.76,4277900,15.999797
2005-03-10,16.76,16.870001,15.75,16.51,6329900,15.761137
2005-03-11,16.200001,16.82,15.56,16.66,1949600,15.904333
2005-03-14,16.9,17.299999,16.75,17.299999,2809300,16.515303
2005-03-15,17.299999,17.75,17.299999,17.639999,4769700,16.839881
2005-03-16,17.65,17.82,17.35,17.49,3071400,16.696685
2005-03-17,17.49,17.68,17.35,17.5,2079000,16.706232
2005-03-18,17.51,17.51,16.99,17.389999,4726700,16.601221
2005-03-21,17.389999,17.49,17.1,17.219999,2131700,16.438931
2005-03-22,17.25,17.450001,16.83,16.950001,2369700,16.18118
2005-03-23,15.75,16.299999,15.56,16.040001,7363100,15.312456
2005-03-24,15.8,16.530001,15.52,16.290001,2406400,15.551116
2005-03-28,16.4,16.629999,16.35,16.559999,2736400,15.808868
2005-03-29,16.59,16.799999,16.32,16.35,4022600,15.608394
2005-03-30,16.35,16.49,16.059999,16.360001,3048700,15.617941
2005-03-31,16.17,16.5,16.129999,16.379999,2654600,15.637032
2005-04-01,16.5,16.799999,16.42,16.530001,2408800,15.78023
2005-04-04,16.59,16.66,16.219999,16.549999,1959400,15.799321
2005-04-05,16.700001,17.280001,16.68,17.139999,2858500,16.36256
2005-04-06,17.120001,17.23,16.950001,17.01,1525000,16.238458
2005-04-07,17,17.15,16.889999,17.129999,2054600,16.353014
2005-04-08,17.1,17.18,16.93,16.969999,1432400,16.200271
2005-04-11,17.049999,17.09,16.92,16.959999,1726300,16.190724
2005-04-12,16.950001,17.469999,16.790001,17.360001,1832100,16.572583
2005-04-13,17.389999,17.559999,17.110001,17.360001,3158500,16.572583
2005-04-14,17.389999,17.440001,16.940001,17,2281100,16.228911
2005-04-15,16.75,16.940001,16.389999,16.51,3419300,15.761137
2005-04-18,16.4,16.58,16.09,16.530001,2129200,15.78023
2005-04-19,16.57,17.139999,16.549999,16.959999,1853000,16.190724
2005-04-20,16.889999,17.02,16.6,16.68,2154600,15.923426
2005-04-21,16.860001,16.91,16.59,16.700001,2889300,15.942519
2005-04-22,16.620001,16.860001,16.58,16.59,2374400,15.837508
2005-04-25,16.6,16.77,16.290001,16.709999,2608700,15.952064
2005-04-26,16.549999,16.969999,16.549999,16.629999,1589600,15.875693
2005-04-27,16.4,16.67,16.24,16.530001,2035600,15.78023
2005-04-28,16.549999,16.700001,15.95,16.030001,3310700,15.302909
2005-04-29,16.059999,16.23,15.93,16.08,3095000,15.35064
2005-05-02,16.18,16.42,16,16.09,3538000,15.360187
2005-05-03,16.25,16.32,15.98,16.1,2294000,15.369734
2005-05-04,16.09,16.27,15.8,16.08,3040000,15.35064
2005-05-05,16.15,16.190001,15.03,15.78,7906800,15.064248
2005-05-06,15.91,16.15,15.84,15.93,2663000,15.207444
2005-05-09,15.93,16.219999,15.84,16.200001,3021500,15.465198
2005-05-10,16.040001,16.18,15.83,15.9,2127400,15.178805
2005-05-11,15.92,15.92,15.12,15.3,6637100,14.60602
2005-05-12,15.33,15.45,14.19,14.39,8472100,13.737296
2005-05-13,14.5,14.5,13.53,14.16,5970600,13.517728
2005-05-16,14.23,14.34,13.84,14.04,3734800,13.403171
2005-05-17,14,14.14,13.91,14.09,3080400,13.450903
2005-05-18,14.23,14.24,13.96,14.05,3129100,13.412718
2005-05-19,14.06,14.15,13.95,14.05,1855100,13.412718
2005-05-20,14.05,14.07,13.77,13.99,2280800,13.355439
2005-05-23,13,13.82,12.98,13.72,6680500,13.097686
2005-05-24,13.9,14.58,13.73,14.38,4869000,13.727749
2005-05-25,14.41,14.71,14.4,14.55,2256100,13.890039
2005-05-26,14.65,14.81,14.6,14.68,2360500,14.014142
2005-05-27,14.71,14.8,14.6,14.63,1383900,13.96641
2005-05-31,14.52,15.05,14.52,14.89,2196400,14.214617
2005-06-01,14.89,15.25,14.75,14.79,1914800,14.119152
2005-06-02,14.65,14.8,14.44,14.57,2110400,13.909131
2005-06-03,14.59,14.76,14.31,14.4,2424800,13.746842
2005-06-06,14.55,15.44,14.55,15,5267200,14.319627
2005-06-07,15.04,15.23,14.89,14.94,2796000,14.262348
2005-06-08,14.94,15.22,14.77,14.84,1325300,14.166885
2005-06-09,14.86,14.86,14.63,14.72,1413100,14.052328
2005-06-10,14.72,14.96,14.67,14.84,1064700,14.166885
2005-06-13,14.85,15.07,14.75,15.03,1901000,14.348266
2005-06-14,15.06,15.44,15.04,15.32,2355800,14.625112
2005-06-15,15.27,15.48,15.25,15.42,2372000,14.720577
2005-06-16,15.46,15.62,15.34,15.55,1635400,14.84468
2005-06-17,15.78,15.87,15.55,15.84,2931000,15.121527
2005-06-20,15.73,16.08,15.68,16,2654600,15.274269
2005-06-21,15.98,16.110001,15.73,15.79,1989300,15.073794
2005-06-22,15.88,15.9,15.65,15.74,1833100,15.026062
2005-06-23,15.75,16.1,15.74,15.85,2223600,15.131073
2005-06-24,15.81,15.84,15.33,15.34,2068900,14.644206
2005-06-27,15.33,16.040001,15.33,15.95,1966000,15.226537
2005-06-28,16.01,16.360001,15.98,16.309999,2840500,15.570208
2005-06-29,16.299999,16.540001,16.15,16.4,2101000,15.656125
2005-06-30,16.5,16.690001,16.18,16.379999,1912000,15.637032
2005-07-01,16.360001,16.67,16.129999,16.59,1869100,15.837508
2005-07-05,16.57,16.67,16.280001,16.5,1891100,15.75159
2005-07-06,16.540001,16.620001,15.89,15.95,2843300,15.226537
2005-07-07,15.55,15.95,15.54,15.85,2041800,15.131073
2005-07-08,15.91,16.309999,15.84,16.09,1646000,15.360187
2005-07-11,16.280001,16.389999,16.129999,16.209999,2969700,15.474743
2005-07-12,16.190001,16.34,16.08,16.18,1003200,15.446105
