Stock Quotes for AEP,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2005-01-04,34.049999,34.34,33.869999,33.889999,975400,21.533566
2005-01-05,33.849998,33.98,33.41,33.490002,1091400,21.279409
2005-01-06,33.599998,33.610001,33.25,33.5,1781500,21.285762
2005-01-07,33.610001,34.09,33.299999,33.369999,1406000,21.20316
2005-01-10,33.290001,33.689999,33.200001,33.48,1108200,21.273054
2005-01-11,33.5,33.59,33.290001,33.48,899700,21.273054
2005-01-12,33.400002,33.689999,33.259998,33.619999,1119100,21.362009
2005-01-13,33.549999,34.18,33.549999,33.919998,1426600,21.552627
2005-01-14,33.950001,34.700001,33.93,34.57,1669600,21.965636
2005-01-18,34.5,34.98,34.41,34.810001,1691000,22.118132
2005-01-19,34.799999,35.040001,34.700001,34.75,994600,22.080007
2005-01-20,34.650002,34.82,34.419998,34.700001,1072700,22.048238
2005-01-21,34.349998,34.380001,33.68,33.73,3652100,21.431903
2005-01-24,33.75,34.16,33.5,33.889999,1354500,21.533566
2005-01-25,34,34.040001,33.509998,33.580002,1521700,21.336595
2005-01-26,33.400002,35.099998,33.400002,34.5,2995800,21.921158
2005-01-27,34.349998,35.27,34.330002,35.27,2720000,22.410413
2005-01-28,35.150002,35.389999,34.75,35.389999,1679100,22.48666
2005-01-31,35.450001,35.5,35.060001,35.25,1849500,22.397705
2005-02-01,35.330002,35.639999,35.150002,35.619999,1332600,22.632801
2005-02-02,35.5,35.650002,35.299999,35.650002,1781500,22.651864
2005-02-03,35.52,35.619999,35.349998,35.619999,1045800,22.632801
2005-02-04,35.619999,35.869999,35.43,35.650002,1460800,22.651864
2005-02-07,35.599998,35.639999,35.290001,35.32,956600,22.442182
2005-02-08,35.060001,35.209999,34.91,34.98,2697600,22.4486
2005-02-09,34.939999,35.049999,34.709999,34.720001,940800,22.281744
2005-02-10,34.849998,34.880001,34.57,34.630001,812000,22.223986
2005-02-11,34.639999,34.73,34.27,34.549999,1219300,22.172645
2005-02-14,34.59,34.900002,34.560001,34.790001,1841200,22.326667
2005-02-15,34.880001,34.880001,34.560001,34.650002,1137000,22.236822
2005-02-16,34.549999,34.599998,34.349998,34.490002,899600,22.134141
2005-02-17,34.5,34.759998,34.310001,34.419998,1093500,22.089216
2005-02-18,34.43,34.43,33.549999,33.73,1880100,21.646405
2005-02-22,33.630001,33.630001,32.509998,32.700001,3003000,20.985398
2005-02-23,32.5,33.310001,32.25,32.5,2215000,20.857047
2005-02-24,32.650002,32.970001,32.560001,32.959999,1665900,21.152254
2005-02-25,32.959999,33.650002,32.880001,33.41,1994300,21.441044
2005-02-28,33.450001,33.68,33.130001,33.400002,1694100,21.434627
2005-03-01,33.400002,33.869999,33.32,33.709999,1887700,21.63357
2005-03-02,33.799999,34.18,33.619999,33.91,2154600,21.761922
2005-03-03,33.91,34.049999,33.709999,33.959999,1318200,21.794009
2005-03-04,34.099998,34.400002,34.07,34.25,1359600,21.980118
2005-03-07,34.400002,34.68,34.299999,34.560001,1139500,22.179063
2005-03-08,34.5,34.779999,34.200001,34.630001,1650600,22.223986
2005-03-09,34.630001,34.68,33.630001,33.68,2012900,21.614318
2005-03-10,33.82,34.209999,33.689999,34.209999,1842100,21.954448
2005-03-11,34.080002,34.400002,33.549999,33.57,1766800,21.543725
2005-03-14,33.5,34.330002,33.470001,34.25,1842000,21.980118
2005-03-15,34.349998,34.639999,33.900002,33.900002,1626400,21.755505
2005-03-16,33.799999,34.16,33.59,33.82,1373800,21.704163
2005-03-17,33.880001,34.099998,33.549999,33.91,1272200,21.761922
2005-03-18,33.91,34.150002,33.419998,33.57,2162500,21.543725
2005-03-21,33.599998,33.810001,33.48,33.59,1123300,21.55656
2005-03-22,33.599998,33.779999,32.860001,32.93,1875600,21.133002
2005-03-23,32.93,32.950001,32.41,32.84,2609000,21.075244
2005-03-24,33,33.540001,33,33.389999,1518600,21.428209
2005-03-28,33.439999,33.790001,33.349998,33.419998,1100100,21.44746
2005-03-29,33.310001,33.310001,32.700001,32.830002,2096000,21.068827
2005-03-30,33.049999,33.740002,33,33.549999,2885100,21.530889
2005-03-31,33.77,34.150002,33.650002,34.060001,1463600,21.858186
2005-04-01,34.380001,34.540001,33.91,34.130001,1690600,21.903108
2005-04-04,34.189999,34.189999,33.790001,33.959999,1741400,21.794009
2005-04-05,34,34.360001,33.91,34.360001,1935700,22.050712
2005-04-06,34.349998,34.470001,34.200001,34.279999,1077500,21.99937
2005-04-07,34.200001,34.639999,34.110001,34.459999,1438400,22.114886
2005-04-08,34.34,34.669998,34.279999,34.529999,1763700,22.159809
2005-04-11,34.490002,34.98,34.490002,34.889999,1249900,22.390841
2005-04-12,34.790001,35.25,34.439999,35.099998,1990300,22.525609
2005-04-13,35,35.110001,34.68,34.919998,1627500,22.410093
2005-04-14,34.830002,35.099998,34.689999,34.720001,1798800,22.281744
2005-04-15,34.669998,34.830002,34.169998,34.189999,1578800,21.941612
2005-04-18,34.009998,34.630001,34.009998,34.57,1668800,22.18548
2005-04-19,34.57,34.82,34.34,34.759998,1508900,22.307413
2005-04-20,34.669998,34.75,34.380001,34.57,1714400,22.18548
2005-04-21,35,35.07,34.599998,34.880001,1705300,22.384425
2005-04-22,34.91,35.119999,34.740002,34.970001,1609800,22.442183
2005-04-25,34.93,35.27,34.889999,35.130001,1327400,22.544864
2005-04-26,35.080002,35.23,34.790001,34.889999,1344400,22.390841
2005-04-27,34.849998,35.549999,34.580002,35.310001,2047100,22.66038
2005-04-28,35.299999,35.48,34.900002,35,1388400,22.461435
2005-04-29,35,35.27,34.849998,35.220001,1662600,22.602622
2005-05-02,35.23,35.549999,35.150002,35.369999,1265700,22.698884
2005-05-03,35.360001,35.849998,35.18,35.610001,2369600,22.852906
2005-05-04,35.619999,35.82,35.18,35.5,1930600,22.782313
2005-05-05,35.43,35.639999,35.169998,35.52,1142300,22.795148
2005-05-06,35.18,35.369999,35,35.220001,1450600,22.827555
2005-05-09,35.209999,35.330002,34.529999,35.16,2194100,22.788666
2005-05-10,35,35.23,34.860001,35.169998,1637900,22.795146
2005-05-11,35.200001,35.330002,34.950001,35.290001,1417400,22.872925
2005-05-12,35.34,35.360001,34.970001,35.049999,1436500,22.71737
2005-05-13,35.119999,35.23,34.09,34.509998,1823200,22.367372
2005-05-16,34.48,35.009998,34.380001,34.880001,951700,22.607187
2005-05-17,34.880001,35.439999,34.82,35.43,976000,22.963664
2005-05-18,35.639999,35.73,35.41,35.450001,1607600,22.976627
2005-05-19,35.549999,35.720001,35.23,35.700001,1730400,23.138663
2005-05-20,35.790001,35.790001,35.369999,35.549999,1229300,23.041441
2005-05-23,35.59,35.619999,35.34,35.610001,732300,23.08033
2005-05-24,35.490002,35.650002,35.310001,35.549999,1054100,23.041441
2005-05-25,35.41,35.630001,35.18,35.450001,1181100,22.976627
2005-05-26,35.450001,35.66,35.169998,35.43,1440300,22.963664
2005-05-27,35.43,35.470001,35.209999,35.41,1217100,22.950701
2005-05-31,35.509998,35.77,35.400002,35.689999,1465400,23.13218
2005-06-01,35.709999,36.150002,35.549999,35.91,1740200,23.274772
2005-06-02,35.939999,35.939999,35.68,35.82,1049400,23.216439
2005-06-03,35.849998,36.080002,35.66,35.799999,1046400,23.203476
2005-06-06,35.799999,36,35.689999,35.919998,844000,23.281252
2005-06-07,36.169998,36.299999,35.759998,35.799999,1555800,23.203476
2005-06-08,35.830002,36.139999,35.709999,35.82,801700,23.216439
2005-06-09,35.82,35.950001,35.57,35.939999,804800,23.294215
2005-06-10,35.990002,36.130001,35.66,35.73,1119200,23.158106
2005-06-13,35.650002,35.900002,35.549999,35.810001,1412100,23.209959
2005-06-14,35.950001,36.209999,35.790001,36.189999,940800,23.456251
2005-06-15,36.200001,36.200001,35.75,35.880001,1092700,23.255329
2005-06-16,35.799999,35.849998,35.330002,35.720001,1409100,23.151626
2005-06-17,35.880001,35.939999,35.580002,35.77,1644100,23.184033
2005-06-20,35.75,35.900002,35.490002,35.900002,1149200,23.268292
2005-06-21,35.880001,35.93,35.669998,35.779999,1091100,23.190513
2005-06-22,36,36.25,35.84,36.110001,1038900,23.404401
2005-06-23,36.119999,36.490002,35.91,36.380001,957200,23.579399
2005-06-24,36.369999,36.459999,36.040001,36.07,1577300,23.378475
2005-06-27,35.349998,36.48,35.349998,36.25,1247800,23.49514
2005-06-28,36.369999,36.560001,36.200001,36.549999,974200,23.689582
2005-06-29,36.66,36.869999,36.349998,36.619999,848000,23.734952
2005-06-30,36.48,37,36.48,36.869999,1478000,23.896988
2005-07-01,36.970001,37,36.599998,36.860001,973200,23.890507
2005-07-05,36.860001,37.290001,36.450001,37.279999,950100,24.162726
2005-07-06,37.18,37.34,36.82,36.84,1468700,23.877544
2005-07-07,36.34,37.470001,36.34,37.330002,1831500,24.195135
2005-07-08,37.299999,38.32,37.209999,38.09,2706400,24.687721
2005-07-11,38.310001,38.889999,38.200001,38.880001,2371100,25.199754
2005-07-12,38.880001,39.139999,38.610001,38.990002,2229400,25.27105
2005-07-13,38.709999,39.200001,38.709999,38.889999,1091800,25.206234
2005-07-14,38.990002,39.34,38.419998,38.639999,1206000,25.044199
2005-07-15,38.650002,38.790001,38.48,38.689999,859200,25.076605
2005-07-18,38.689999,38.830002,38.580002,38.66,1023600,25.057162
2005-07-19,38.700001,38.880001,38.57,38.799999,1434000,25.147901
2005-07-20,38.700001,39.009998,38.380001,39,949400,25.27753
2005-07-21,39,39,37.450001,38.41,1439500,24.895126
2005-07-22,38.400002,38.860001,38.259998,38.77,932900,25.128458
2005-07-25,38.669998,38.990002,38.560001,38.560001,859600,24.992349
2005-07-26,38.700001,38.75,38.27,38.310001,1366000,24.830313
2005-07-27,38.349998,38.470001,38.110001,38.419998,1172900,24.901607
2005-07-28,38.349998,38.66,38.169998,38.509998,1284300,24.95994
2005-07-29,39.299999,39.299999,38.650002,38.700001,3608600,25.083088
2005-08-01,38.66,38.68,37.919998,38.139999,2321200,24.720128
2005-08-02,38.290001,38.549999,38.18,38.400002,3903700,24.888646
2005-08-03,38.400002,39.09,38.299999,38.900002,4617400,25.212717
2005-08-04,38.900002,39.169998,38.66,38.689999,2077200,25.076605
2005-08-05,38.689999,38.689999,37.630001,38.169998,1734100,24.739571
2005-08-08,38,38,36.939999,37.040001,2134600,24.229344
2005-08-09,37.25,37.580002,37.220001,37.580002,1948900,24.58258
2005-08-10,37.77,38.049999,37.34,37.549999,1061900,24.562954
2005-08-11,37.48,37.82,37.389999,37.720001,964200,24.674159
2005-08-12,37.720001,37.779999,37.189999,37.52,1002800,24.543331
2005-08-15,37.450001,37.639999,37.240002,37.580002,869300,24.58258
2005-08-16,37.639999,37.669998,37.07,37.130001,925200,24.288217
2005-08-17,36.970001,36.98,36.369999,36.790001,1091700,24.065809
2005-08-18,36.549999,36.849998,36.450001,36.77,1058000,24.052726
2005-08-19,36.950001,37,36.77,36.82,1193800,24.085432
2005-08-22,36.790001,37.189999,36.73,36.889999,1466400,24.131222
2005-08-23,36.849998,37.139999,36.779999,36.98,1031400,24.190095
2005-08-24,37.009998,37.400002,36.880001,36.950001,1306400,24.170471
2005-08-25,36.939999,37.169998,36.82,37.119999,1082800,24.281674
2005-08-26,37,37.200001,36.84,36.84,770400,24.098515
2005-08-29,36.759998,37.060001,36.5,36.98,1337200,24.190095
2005-08-30,36.959999,37.169998,36.619999,36.98,1237300,24.190095
2005-08-31,37.02,37.279999,36.759998,37.18,1969500,24.320923
2005-09-01,37.27,37.75,37.080002,37.5,3433800,24.530248
2005-09-02,37.75,38.150002,37.669998,37.720001,1842400,24.674159
2005-09-06,38.150002,38.290001,37.959999,37.959999,2168100,24.831151
2005-09-07,37.939999,38.290001,37.900002,38.200001,3260700,24.988146
