Stock Quotes for GHC,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2005-01-04,967.5,967.5,945.320007,949,21800,787.426586
2005-01-05,946,948,920.049988,930.530029,23000,772.101248
2005-01-06,930.530029,939.5,918,923,16500,765.853255
2005-01-07,922,931,918,924.200012,10800,766.848957
2005-01-10,929,946,910.099976,913,30800,757.55582
2005-01-11,917.75,926,904,907.900024,29600,753.324148
2005-01-12,907.900024,915,880.01001,896,65000,743.45018
2005-01-13,892,909.75,885,903,44100,749.258385
2005-01-14,903.25,916,903.25,910.530029,21500,755.506377
2005-01-18,905.75,917,902.75,909.799988,28400,754.90063
2005-01-19,906,913,906,907.97998,10400,753.390491
2005-01-20,907,909.98999,889,902.5,23700,748.843513
2005-01-21,903,926,903,911,17900,755.896333
2005-01-24,907,914.809998,899,899,29800,745.939411
2005-01-25,903.5,910,897.419983,897.419983,11300,744.628402
2005-01-26,902,906.5,896,902.47998,12800,748.826902
2005-01-27,899.630005,906.140015,897,900,12600,748.303109
2005-01-28,897,901.97998,894,900,12300,748.303109
2005-01-31,904,924,904,914.5,15400,760.359104
2005-02-01,913,917.210022,908,917.210022,13600,762.612346
2005-02-02,921.75,924.950012,919.98999,922.950012,10700,767.384849
2005-02-03,919,919,902,915.700012,12500,761.356852
2005-02-04,918.700012,934.75,918.700012,924,17000,768.257859
2005-02-07,924,940,921.25,932.75,17300,775.533028
2005-02-08,935,941.900024,934,939.059998,7600,780.779462
2005-02-09,941,944.5,914.5,919.01001,14800,764.108942
2005-02-10,919.01001,924,914.98999,923.150024,8400,767.551149
2005-02-11,928,933,920,927.98999,9200,771.575328
2005-02-14,927.98999,933.5,921.969971,927.599976,6100,771.251051
2005-02-15,930,932.090027,923,931,7200,774.077994
2005-02-16,934,936.52002,923.73999,932,7100,774.909442
2005-02-17,931,931,919,920,9300,764.932067
2005-02-18,917,923.309998,915.530029,921,8100,765.763515
2005-02-22,918,920,900,905.179993,15900,752.610003
2005-02-23,905.190002,907,903.25,905,11800,752.460349
2005-02-24,905,936,900,926.5,18900,770.336479
2005-02-25,917,920,905,908.97998,23800,755.769495
2005-02-28,905,915,889,898,21100,746.640214
2005-03-01,904,907,886,895.5,29300,744.561594
2005-03-02,896,905.5,893.5,902.859985,14000,750.681038
2005-03-03,902.859985,912,895,897,12300,745.808766
2005-03-04,901.75,906.5,897.5,899,14600,747.471662
2005-03-07,899,901,888,894.5,24700,743.730146
2005-03-08,892,895,880.049988,883,33600,734.168495
2005-03-09,880,887,879,880.140015,19600,731.790566
2005-03-10,878,904.5,878,900,14000,748.303109
2005-03-11,900.01001,912,891,898.01001,22100,746.648536
2005-03-14,898.25,902,896,899.5,14700,747.887385
2005-03-15,900.5,901,884.52002,890,16400,739.98863
2005-03-16,889,891.5,884,884.5,9500,735.415667
2005-03-17,885.5,885.5,880.080017,881,16800,732.505599
2005-03-18,880,900,874,897.5,136400,746.22449
2005-03-21,894,907.98999,893.25,904.48999,23500,752.036302
2005-03-22,902,911.5,901.940002,906.780029,21500,753.940351
2005-03-23,906.780029,917,902.109985,902.109985,16200,750.057452
2005-03-24,901.109985,911.070007,894,904,19200,751.628901
2005-03-28,906.5,906.5,887.650024,887.650024,13600,738.034748
2005-03-29,885,898,880,884.5,13900,735.415667
2005-03-30,882,885.51001,876.01001,885.51001,10700,736.255437
2005-03-31,890.25,899.900024,889,894,11300,743.314422
2005-04-01,894,896.5,875,891.25,27900,741.02794
2005-04-04,889,895,887,888.109985,5800,738.417182
2005-04-05,890.5,907,886,891.02002,21300,740.836724
2005-04-06,891.030029,894.98999,887.01001,891.73999,7000,741.435342
2005-04-07,890.73999,906,887.5,899.960022,9900,748.26987
2005-04-08,897.5,902,880.97998,900,12800,748.303109
2005-04-11,900.75,904,894,899.5,6400,747.887385
2005-04-12,897,902,894,894,14900,743.314422
2005-04-13,891,891,881.5,885.48999,6300,736.238792
2005-04-14,888.5,897,882,883.5,8300,734.584219
2005-04-15,883.5,886,876.97998,880,9100,731.674151
2005-04-18,879,880,869,874,16100,726.685464
2005-04-19,877,890.75,872.5,877,23500,729.179808
2005-04-20,880,880,855.049988,858.320007,23400,713.648367
2005-04-21,863,865.01001,845.01001,856.75,32300,712.342988
2005-04-22,856,858,832.219971,844,28900,701.742027
2005-04-25,848.5,851,840,846.01001,22100,703.413245
2005-04-26,843.5,861,840,847.5,15500,704.652095
2005-04-27,848,865,848,860.130005,7700,716.717772
2005-04-28,859.130005,862,850.01001,858.200012,15100,715.109573
2005-04-29,856,864.25,855,864.25,8200,720.150827
2005-05-02,868,871,848,855.059998,11400,712.493103
2005-05-03,855.059998,870,850.75,864.929993,18700,720.717443
2005-05-04,865,876,860.049988,867,22300,722.442311
2005-05-05,866,866,853,860.25,15700,716.81776
2005-05-06,857,863,840.02002,850,10400,708.276775
2005-05-09,846,850,832.98999,839.75,21900,699.735791
2005-05-10,842,842,824,826.72998,48500,688.886641
2005-05-11,828,829,810.01001,817,60600,680.778971
2005-05-12,817,823.98999,811,816.25,38600,680.154021
2005-05-13,814,818,805,814,27300,678.279171
2005-05-16,811,818.01001,810,817.700012,13000,681.362268
2005-05-17,817.700012,822,809,821.599976,20200,684.611978
2005-05-18,826,832,821,826.5,18500,688.695006
2005-05-19,824.5,835,824.5,833.599976,12200,694.61118
2005-05-20,836.5,839.5,830,834.700012,14200,695.527804
2005-05-23,839.5,848,833,835.75,13400,696.402724
2005-05-24,831.75,842,831.75,838.5,19400,698.694207
2005-05-25,836,838,819.98999,829.75,10800,691.403123
2005-05-26,829.900024,836.97998,821.5,824.75,4100,687.236789
2005-05-27,826,838.940002,824.5,836,4100,696.61104
2005-05-31,838,842.97998,830,830,15000,691.61144
2005-06-01,832,845,831.5,833,9900,694.11124
2005-06-02,831,831.299988,825,828.5,8700,690.361539
2005-06-03,827,838,827,828,8000,689.944906
2005-06-06,828,834,823.049988,825.900024,9000,688.195066
2005-06-07,829.400024,840,826.25,836,14500,696.61104
2005-06-08,839.5,839.5,830.5,831.650024,10700,692.98635
2005-06-09,830,834,826,831,12500,692.444706
2005-06-10,830,838,827.98999,829.599976,12400,691.278113
2005-06-13,829.599976,854,827.5,853.5,22300,711.193209
2005-06-14,853.5,856,847,855,15600,712.443109
2005-06-15,858,859.72998,845.5,849,22500,707.443509
2005-06-16,847.5,871.5,846,871.5,48000,726.192012
2005-06-17,876,876,844,844,33700,703.277175
2005-06-20,840,864,840,853.5,19400,711.193209
2005-06-21,852.5,859.460022,849,853.5,9000,711.193209
2005-06-22,853.400024,859,848,848,8200,706.610242
2005-06-23,850,860,840,841.77002,19300,701.419006
2005-06-24,840,840,827,827,32700,689.111639
2005-06-27,827,830,818.25,829.25,26000,690.986489
2005-06-28,833.75,847.02002,833.75,844.799988,12600,703.943778
2005-06-29,847.5,851,830,831.75,11700,693.069656
2005-06-30,834.75,848.119995,834,835.030029,10900,695.802796
2005-07-01,833,849.25,833,849.25,9200,707.651825
2005-07-05,852,865.530029,852,861.599976,15000,717.94265
2005-07-06,866.5,873.900024,861.159973,861.590027,16000,717.93436
2005-07-07,857.5,866.5,838.75,840.5,21700,700.360741
2005-07-08,844.5,872,842.5,866.75,12100,722.233994
2005-07-11,871,877.5,863.159973,868,7400,723.275578
2005-07-12,866,866,853.76001,855.640015,13400,712.976412
2005-07-13,857,873.26001,849,851.830017,14400,709.801668
2005-07-14,854.830017,860,844.27002,854.450012,11500,711.984823
2005-07-15,854.450012,859.48999,848,855,13900,712.443109
2005-07-18,855,858.5,846,853,4900,710.776576
2005-07-19,851,852.25,847.960022,850,5100,708.276775
2005-07-20,850,860,850,858,9900,714.94291
2005-07-21,857,870,855,864.98999,11200,720.767437
2005-07-22,866.5,877,865,874.5,6300,728.691812
2005-07-25,877.5,889,875,882.47998,12000,735.341265
2005-07-26,886.47998,890,880,880,7700,733.274779
2005-07-27,880.5,894.890015,879,889.5,10000,742.75231
2005-07-28,889.5,895,889,891.5,5100,744.422354
2005-07-29,889,893,877,888.799988,24700,742.167784
2005-08-01,888.700012,893,873.099976,874.5,12900,730.226976
2005-08-02,874.5,885.75,874.5,879,12200,733.984576
2005-08-03,878,893.580017,877,891.51001,19100,744.430713
2005-08-04,894,900,880.400024,899.900024,22200,751.436562
2005-08-05,880,880,835.169983,835.590027,49600,697.736282
2005-08-08,831,831,792,810.599976,29900,676.869032
2005-08-09,810,812,785,786.880005,26000,657.062328
2005-08-10,811,825.98999,797.75,801.25,34200,669.061594
2005-08-11,798,804.5,792.130005,800,21600,668.017817
2005-08-12,803,805.5,797.5,801.5,18900,669.27035
2005-08-15,799,810,797,804.950012,19400,672.151187
2005-08-16,806.5,808,801,804.5,10800,671.775417
2005-08-17,803.5,819.570007,803,806.340027,21600,673.31188
2005-08-18,806.340027,818.5,806.340027,815.02002,21300,680.559867
2005-08-19,815,820,815,815.48999,9100,680.952303
2005-08-22,816.400024,822,813.25,816.5,24900,681.795684
2005-08-23,815.5,822,815,818.75,19600,683.674484
2005-08-24,820.75,820.75,814.98999,815.059998,16700,680.59325
2005-08-25,815.059998,820,815,819.340027,11400,684.16717
2005-08-26,816,832,814.690002,815.450012,16700,680.918921
2005-08-29,819,828,817.780029,825.75,22600,689.51964
2005-08-30,825.5,829.5,815.75,815.75,13700,681.169417
2005-08-31,816.219971,832,816.219971,832,15600,694.738529
2005-09-01,835,837.080017,827.5,830,16400,693.068485
2005-09-02,828.76001,828.76001,815,816.5,11400,681.795684
2005-09-06,814,828.5,812.960022,821.25,12000,685.76204
2005-09-07,824.25,825.909973,815.359985,819,8800,683.88324
2005-09-08,817,823,815,815,13500,680.543151
2005-09-09,815,820,815,816.5,18200,681.795684
2005-09-12,820.5,854.369995,817,848.150024,30600,708.224159
2005-09-13,845,845,815.01001,815.700012,21900,681.127676
2005-09-14,820,823.049988,815,815,14700,680.543151
2005-09-15,819.75,820,814.25,820,9000,684.718262
2005-09-16,817.5,821,811.47998,820,68200,684.718262
2005-09-19,838,838,815.98999,820,31800,684.718262
2005-09-20,822,822.5,812,815.5,19200,680.960662
2005-09-21,810.650024,813,799,803,19000,670.522883
2005-09-22,801,804.51001,795,800.380005,9600,668.335129
2005-09-23,800,807,800,800,20300,668.017817
2005-09-26,803,809.02002,797,809.02002,14700,675.549734
2005-09-27,809.02002,809.02002,792.5,798,26400,666.347772
2005-09-28,796,800.75,792.039978,799,26400,667.182794
2005-09-29,796,796,787.289978,791,13400,660.502616
2005-09-30,787,804.5,781.799988,802.5,22100,670.105372
2005-10-03,799,806.5,788.5,806.5,20500,673.445461
2005-10-04,807.5,808.25,792,793.5,9200,662.590172
2005-10-05,796.5,796.5,782,782.5,14600,653.404927
2005-10-06,785,790.01001,767.5,787.25,28300,657.371283
2005-10-07,784.5,787.25,765,775.5,19000,647.559771
2005-10-10,778,779.5,767,770.059998,16000,643.017248
2005-10-11,770.059998,773,757,758.640015,19200,633.481308
2005-10-12,758,758,738,742,37200,619.586525
2005-10-13,745,752.5,741.25,745,29600,622.091592
2005-10-14,747.5,774,741.5,774,14400,646.307238
2005-10-17,777,782,751.890015,755,12100,630.441814
2005-10-18,751.5,769.900024,747,765.320007,14600,639.05925
2005-10-19,768,780.25,754,779.5,11000,650.89986
2005-10-20,777,779,763,765,11100,638.792037
2005-10-21,768.5,770,761.900024,761.900024,10800,636.203488
2005-10-24,765,767.25,762,767.25,15800,640.670837
2005-10-25,766,775.5,764,770.5,9100,643.38466
2005-10-26,767,775,766.5,772.900024,7000,646.942069
2005-10-27,771.900024,771.900024,739,739.440002,33300,618.934959
2005-10-28,737.5,752,737.5,743.98999,28100,622.743444
2005-10-31,748.5,755.940002,743.419983,745,28100,623.588855
2005-11-01,745.900024,754.75,745,750.049988,14100,627.815856
2005-11-02,750,755,750,752,18900,629.448079
2005-11-03,754.5,773.099976,753,770,10400,644.514655
2005-11-04,767,767,749,759.359985,19700,635.608623
2005-11-07,760,760,744,745,20600,623.588855
2005-11-08,747,748,732,740,12500,619.403695
2005-11-09,737,750.5,733.440002,735.299988,20000,615.469634
2005-11-10,735,737,719.25,737,28900,616.892599
2005-11-11,737,749.640015,737,744.75,30100,623.379597
2005-11-14,741,741,726,729,15000,610.196343
2005-11-15,729.099976,732,725.5,729.599976,18300,610.698541
2005-11-16,726,730,717,717,27300,600.151958
2005-11-17,721.75,726.98999,716,720.5,19800,603.08157
2005-11-18,726,736,724,735,13300,615.218535
2005-11-21,731,740.900024,729.5,740.25,18700,619.612953
2005-11-22,737.5,743,734.01001,743,13100,621.914791
2005-11-23,745,745,733,737.700012,8200,617.478531
2005-11-25,735,737,731,731.5,3400,612.288923
2005-11-28,736,740,729.5,734,15400,614.381503
2005-11-29,736.5,758,736.5,745.710022,14200,624.183166
2005-11-30,748,756,735,737,10800,616.892599
2005-12-01,737,747,735,745.5,8400,624.007371
2005-12-02,750,750,730.75,732.5,10300,613.125955
2005-12-05,730.5,737.27002,725,735.599976,17100,615.720734
2005-12-06,735.599976,743,735.599976,740.030029,18800,619.42883
2005-12-07,740.030029,748.5,740,740.25,14900,619.612953
2005-12-08,743,749,743,745.849976,6400,624.300312
2005-12-09,745.5,760,745.5,758,15300,634.470271
2005-12-12,756,773,752,769.390015,15400,644.004078
2005-12-13,771,775,757,758.030029,9500,634.495407
2005-12-14,756,764,754.75,759.700012,12500,635.893236
2005-12-15,764,766,756.650024,762,7900,637.818399
2005-12-16,765,772,762,765.25,27800,640.538753
2005-12-19,768.75,769,765,765,13400,640.329495
2005-12-20,765,768,765,765.75,13100,640.957269
2005-12-21,765,773,765,767.48999,10800,642.413697
2005-12-22,768,771,765,766.5,10000,641.585043
2005-12-23,766,775,765,770.5,6500,644.933171
