Stock Quotes for GLW,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2005-01-04,11.76,11.86,11.53,11.53,7322800,10.042263
2005-01-05,11.54,11.63,11.28,11.4,7483200,9.929037
2005-01-06,11.75,11.81,11.65,11.74,10244500,10.225166
2005-01-07,11.89,11.93,11.76,11.88,8833000,10.347102
2005-01-10,11.88,11.92,11.79,11.89,6707600,10.355812
2005-01-11,11.7,11.81,11.56,11.76,11334200,10.242586
2005-01-12,11.66,11.85,11.56,11.81,8585800,10.286134
2005-01-13,11.82,11.96,11.8,11.87,10984200,10.338392
2005-01-14,11.91,11.99,11.71,11.77,8565100,10.251296
2005-01-18,11.8,12.24,11.68,12.23,13132000,10.65194
2005-01-19,12.4,12.4,11.9,11.93,7464000,10.39065
2005-01-20,11.9,11.91,11.6,11.66,6872500,10.155489
2005-01-21,11.67,11.79,11.52,11.52,7961900,10.033554
2005-01-24,11.46,11.5,11.11,11.25,7884300,9.798392
2005-01-25,11.33,11.66,11.33,11.51,7683700,10.024844
2005-01-26,11.51,11.9,10.7,10.95,31481100,9.537101
2005-01-27,11.13,11.14,10.7,10.75,15862600,9.362908
2005-01-28,10.75,10.83,10.61,10.74,11825600,9.354198
2005-01-31,10.83,11.01,10.72,10.94,8212100,9.528391
2005-02-01,11.02,11.08,10.87,10.93,6815600,9.519682
2005-02-02,10.99,11.14,10.98,11.1,7782300,9.667747
2005-02-03,11.12,11.14,10.98,11.05,5072800,9.624198
2005-02-04,11.05,11.32,11.01,11.32,8690600,9.859359
2005-02-07,11.48,11.92,11.46,11.76,11743300,10.242586
2005-02-08,11.86,12.1,11.85,12.09,10767100,10.530005
2005-02-09,12.03,12.19,11.62,11.68,7613900,10.172908
2005-02-10,11.76,11.83,11.42,11.76,5283400,10.242586
2005-02-11,11.78,12,11.6,11.92,5524200,10.381941
2005-02-14,11.9,11.94,11.75,11.85,3164100,10.320973
2005-02-15,11.84,11.99,11.71,11.77,4488100,10.251296
2005-02-16,11.78,11.94,11.65,11.84,6507300,10.312263
2005-02-17,11.85,11.92,11.69,11.72,5804900,10.207747
2005-02-18,11.86,11.86,11.65,11.67,5702900,10.164199
2005-02-22,11.57,11.69,11.45,11.48,6141500,9.998714
2005-02-23,11.5,11.58,11.23,11.3,6418700,9.84194
2005-02-24,11.15,11.51,11.11,11.5,6939600,10.016134
2005-02-25,11.53,11.69,11.51,11.68,4577100,10.172908
2005-02-28,11.52,11.64,11.35,11.47,4538700,9.990005
2005-03-01,11.45,11.66,11.45,11.56,4174700,10.068392
2005-03-02,11.56,11.72,11.45,11.48,3198000,9.998714
2005-03-03,11.64,11.78,11.52,11.72,6446200,10.207747
2005-03-04,11.78,11.79,11.25,11.28,11589000,9.824521
2005-03-07,11.38,11.62,11.36,11.42,6471200,9.946456
2005-03-08,11.43,11.5,11.26,11.31,3918600,9.85065
2005-03-09,11.3,11.52,11.21,11.35,6739100,9.885489
2005-03-10,11.33,11.46,11.29,11.38,3592500,9.911618
2005-03-11,11.4,11.51,11.27,11.3,3518100,9.84194
2005-03-14,11.33,11.52,11.32,11.48,5026300,9.998714
2005-03-15,11.49,11.61,11.31,11.34,4635600,9.876779
2005-03-16,11.28,11.4,11.11,11.17,5365500,9.728714
2005-03-17,11.11,11.38,11.07,11.32,6681400,9.859359
2005-03-18,11.32,11.38,11,11.1,8783600,9.667747
2005-03-21,11.1,11.14,10.81,10.82,7544800,9.423875
2005-03-22,10.8,11.17,10.8,10.97,7952400,9.554521
2005-03-23,11.07,11.07,10.78,10.82,5686600,9.423875
2005-03-24,10.86,11.08,10.83,10.86,5698700,9.458714
2005-03-28,10.87,11.05,10.87,11,3510000,9.58065
2005-03-29,10.97,11.09,10.82,10.85,4244900,9.450005
2005-03-30,10.83,11,10.77,10.8,5828700,9.406456
2005-03-31,11,11.2,10.85,11.13,5598200,9.693876
2005-04-01,11.21,11.3,11.11,11.14,5913300,9.702586
2005-04-04,11.09,11.27,10.97,11.25,4661100,9.798392
2005-04-05,11.19,11.32,11.16,11.25,6154100,9.798392
2005-04-06,11.37,11.84,11.28,11.76,11246100,10.242586
2005-04-07,11.79,12.1,11.67,12.06,12559400,10.503876
2005-04-08,12.04,12.22,11.98,11.98,5778700,10.434198
2005-04-11,11.95,12,11.71,11.84,4542600,10.312263
2005-04-12,11.68,11.94,11.58,11.9,4422800,10.364521
2005-04-13,11.85,11.85,11.53,11.6,8985200,10.103231
2005-04-14,11.6,11.67,11.32,11.39,6222900,9.920328
2005-04-15,11.41,11.42,11.07,11.1,6914900,9.667747
2005-04-18,11.54,11.9,11.44,11.56,12259400,10.068392
2005-04-19,11.65,11.79,11.65,11.69,7492000,10.181617
2005-04-20,11.94,12.51,11.84,12.32,24123600,10.730328
2005-04-21,12.43,12.6,11.93,12.32,15039800,10.730328
2005-04-22,12.31,12.51,12.11,12.32,8627700,10.730328
2005-04-25,12.54,12.6,12.35,12.6,6045600,10.974199
2005-04-26,12.45,12.77,12.43,12.56,9289400,10.93936
2005-04-27,12.75,13.73,12.74,13.57,36506000,11.819038
2005-04-28,13.48,13.9,13.46,13.8,20110100,12.019361
2005-04-29,13.8,13.95,13.15,13.75,13297400,11.975812
2005-05-02,13.65,13.92,13.65,13.81,10107800,12.028071
2005-05-03,13.64,13.89,13.55,13.84,7229500,12.0542
2005-05-04,13.8,13.86,13.54,13.69,12148500,11.923554
2005-05-05,13.66,14,13.66,13.81,7720200,12.028071
2005-05-06,13.9,14.97,13.9,14.76,28914500,12.85549
2005-05-09,14.72,15.36,14.61,15.24,23433000,13.273555
2005-05-10,14.91,15.17,14.5,14.86,16736300,12.942587
2005-05-11,14.81,15.67,14.81,15.49,15983300,13.491297
2005-05-12,15.62,15.75,15.03,15.19,16285600,13.230006
2005-05-13,15.3,15.35,14.82,15.11,10841800,13.160329
2005-05-16,15.07,15.1,14.62,15.03,10660800,13.090651
2005-05-17,14.5,14.8,14,14.74,21179200,12.838071
2005-05-18,14.73,14.87,14.45,14.57,17267200,12.690006
2005-05-19,14.6,14.9,14.57,14.82,9722600,12.907748
2005-05-20,14.82,14.88,14.65,14.7,7747500,12.803232
2005-05-23,14.75,14.75,14.35,14.54,11680900,12.663877
2005-05-24,14.48,14.58,14.25,14.55,9864400,12.672587
2005-05-25,14.72,14.87,14.51,14.85,13638000,12.933878
2005-05-26,15,15.5,14.99,15.26,28256800,13.290974
2005-05-27,15.42,15.57,15.3,15.5,11062800,13.500007
2005-05-31,15.57,15.73,15.42,15.68,11789000,13.656781
2005-06-01,15.81,16.57,15.79,16.24,17497100,14.144523
2005-06-02,16,16.440001,15.91,15.99,18579700,13.926781
2005-06-03,16.049999,16.1,15.9,16.07,8988700,13.996458
2005-06-06,16.07,16.15,15.91,15.95,6490100,13.891942
