Stock Quotes for HOG,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2005-01-04,60.369999,60.599998,59.73,59.959999,1519500,49.329396
2005-01-05,60,60.119999,59.490002,59.779999,1136700,49.181309
2005-01-06,59.900002,60.279999,59.849998,60.119999,766400,49.461029
2005-01-07,60.150002,60.349998,59.41,59.540001,657900,48.983862
2005-01-10,59.400002,60.57,59.369999,60.080002,1533900,49.428123
2005-01-11,59.610001,59.610001,58.849998,59.18,1948700,48.687687
2005-01-12,59.349998,59.75,59.009998,59.73,1403200,49.140175
2005-01-13,59.849998,59.919998,58.73,58.869999,1739600,48.432648
2005-01-14,59.099998,59.439999,58.900002,59,1649200,48.5396
2005-01-18,59.029999,59.98,59.029999,59.91,2500900,49.288262
2005-01-19,59.66,59.889999,59.529999,59.709999,2123700,49.12372
2005-01-20,59.389999,59.400002,57.84,58.5,3853400,48.128248
2005-01-21,58.349998,58.84,58.209999,58.41,2011400,48.054204
2005-01-24,58.400002,58.700001,57.950001,58.029999,1808600,47.741575
2005-01-25,58.029999,58.91,57.900002,58.509998,1375500,48.136473
2005-01-26,58.650002,59.330002,58.650002,58.82,1600400,48.391513
2005-01-27,58.830002,59.389999,58.509998,59.209999,1449800,48.712368
2005-01-28,59.189999,59.490002,58.950001,59.48,1237000,48.934498
2005-01-31,59.549999,60.130001,59.549999,60.110001,1382800,49.452803
2005-02-01,60.110001,60.779999,60,60.740002,1765400,49.971109
2005-02-02,60.540001,61.43,60.509998,61.330002,1628800,50.456505
2005-02-03,61.259998,61.259998,60.759998,61.029999,1063600,50.209691
2005-02-04,61.040001,61.380001,60.919998,61.27,937400,50.407141
2005-02-07,61.299999,61.389999,60.82,61.169998,601300,50.324869
2005-02-08,61.200001,61.299999,60.91,61.169998,863500,50.324869
2005-02-09,61.049999,61.16,60.439999,60.52,624800,49.790112
2005-02-10,60.5,60.900002,60.040001,60.73,1077000,49.96288
2005-02-11,60.73,61.599998,60.619999,61.369999,1554100,50.48941
2005-02-14,61.32,61.48,60.580002,60.990002,1555900,50.176785
2005-02-15,60.91,61.580002,60.830002,61.580002,1586900,50.662181
2005-02-16,61.57,62.209999,61.310001,62.07,1855500,51.065305
2005-02-17,62.060001,62.490002,61.68,61.68,2254200,50.74445
2005-02-18,61.400002,61.799999,60.849998,61.259998,1414400,50.398912
2005-02-22,61.209999,61.490002,60.400002,60.52,2115700,49.790112
2005-02-23,60.700001,61.139999,60.700001,60.900002,1225000,50.102741
2005-02-24,60.700001,61.349998,60.650002,61.349998,1054300,50.472956
2005-02-25,61.150002,62.16,61.150002,62.099998,978500,51.089985
2005-02-28,62.049999,62.27,61.630001,61.880001,1331200,50.908992
2005-03-01,61.889999,62.060001,61.400002,61.75,688400,50.802039
2005-03-02,61.25,61.990002,61.25,61.48,879200,50.579909
2005-03-03,61.580002,62.32,61.459999,62.18,789800,51.155803
2005-03-04,62.470001,62.470001,61.650002,61.700001,982600,50.863153
2005-03-07,61.709999,61.98,61.27,61.310001,1235800,50.541652
2005-03-08,60.900002,61.200001,60.25,60.549999,1747600,49.915135
2005-03-09,60.549999,60.799999,60.16,60.16,1541300,49.593635
2005-03-10,60.27,60.619999,60.049999,60.419998,970200,49.807967
2005-03-11,60.41,61.049999,60.299999,60.400002,718200,49.791483
2005-03-14,60.48,61.060001,60.400002,60.91,913500,50.211906
2005-03-15,61.16,61.560001,61.02,61.16,1101900,50.417997
2005-03-16,61.16,61.470001,60.189999,60.5,1964000,49.873918
2005-03-17,60.349998,60.450001,60.110001,60.150002,1699100,49.585392
2005-03-18,60.48,60.900002,60.34,60.560001,1766800,49.923381
2005-03-21,60.75,61,60.150002,60.650002,1030300,49.997573
2005-03-22,60.650002,60.75,59.599998,59.599998,1891500,49.131991
2005-03-23,59.34,59.560001,58.450001,59.43,2019000,48.99185
2005-03-24,59.43,59.66,58.75,58.939999,1515900,48.587912
2005-03-28,59.400002,59.400002,58.740002,58.75,1154500,48.431284
2005-03-29,58.5,58.75,57.209999,57.32,2812400,47.252446
2005-03-30,57.200001,57.810001,57.200001,57.68,1934700,47.549216
2005-03-31,57.849998,58.25,57.75,57.759998,1406500,47.615164
2005-04-01,57.849998,58.139999,56.580002,56.779999,2313700,46.807289
2005-04-04,56.73,57,56.110001,56.650002,1702900,46.700124
2005-04-05,56.610001,57.790001,56.380001,57.599998,1838100,47.483266
2005-04-06,57.799999,57.959999,57.43,57.5,1146700,47.400831
2005-04-07,57.650002,57.689999,57.130001,57.369999,1427600,47.293663
2005-04-08,57.509998,57.919998,57.099998,57.27,1788100,47.211228
2005-04-11,57.169998,57.450001,56.900002,57.119999,1473300,47.087572
2005-04-12,56.869999,59.139999,56.689999,58.77,3459000,48.447771
2005-04-13,49.110001,49.799999,47.66,48.93,34952000,40.336047
2005-04-14,48.900002,48.970001,46.66,47.200001,15837900,38.9099
2005-04-15,47.200001,47.200001,45.66,45.799999,7575500,37.755792
2005-04-18,45.790001,46.84,45.139999,46.400002,5548800,38.250411
2005-04-19,46.650002,47.27,46.650002,46.98,4713000,38.728539
2005-04-20,47.23,47.299999,45.419998,45.419998,4745600,37.442533
2005-04-21,46,47.52,45.880001,47.459999,4311500,39.124233
2005-04-22,48,48,46.119999,46.709999,4435800,38.505961
2005-04-25,46.959999,47.099998,46.490002,46.919998,4499200,38.679077
2005-04-26,46.919998,47.049999,46.259998,46.259998,4108300,38.134998
2005-04-27,46.27,47.27,46.150002,47.080002,3656700,38.810978
2005-04-28,47.080002,47.200001,46.380001,46.380001,3355200,38.233923
2005-04-29,46.599998,47.02,45.75,47.02,3045900,38.761515
2005-05-02,47.25,48.32,47.25,48.169998,3406600,39.709529
2005-05-03,48.049999,48.380001,47.5,47.720001,3097800,39.338569
2005-05-04,48,49.349998,47.779999,49.299999,3821600,40.64106
2005-05-05,49.110001,49.259998,48.419998,48.619999,2311500,40.080493
2005-05-06,48.610001,49.189999,48.610001,48.849998,2911000,40.270096
2005-05-09,49,49.16,48.799999,49.040001,2264400,40.426727
2005-05-10,48.849998,49.130001,48.66,48.689999,2523800,40.138198
2005-05-11,48.900002,49.049999,48.150002,48.25,3049800,39.77548
2005-05-12,48.200001,48.200001,46.970001,47,3865000,38.745027
2005-05-13,47.200001,47.43,46.41,46.900002,2534700,38.662592
2005-05-16,47,47.619999,46.66,47.59,1768400,39.231401
2005-05-17,47.400002,48.360001,47.240002,48.259998,3432400,39.783722
2005-05-18,48.380001,49.360001,48.349998,49.18,3385800,40.542137
2005-05-19,49.43,49.68,48.700001,49.560001,2505000,40.855396
2005-05-20,49.98,50.299999,48.75,50,3373100,41.218114
2005-05-23,49.900002,50.299999,49.630001,49.630001,3316100,40.913101
2005-05-24,49.610001,49.869999,48.900002,49.150002,1951300,40.517407
2005-05-25,49.099998,49.529999,48.860001,49.5,1824700,40.805933
2005-05-26,49.740002,49.75,49.52,49.630001,1763400,40.913101
2005-05-27,49.73,50.09,49.669998,49.889999,1267200,41.127434
2005-05-31,49.639999,49.799999,49,49.029999,2070600,40.418481
2005-06-01,49,49.049999,48.330002,48.439999,2350900,39.932108
2005-06-02,48.529999,48.75,48.060001,48.349998,3148800,39.857915
2005-06-03,48.25,48.610001,48.150002,48.400002,1405400,39.899136
2005-06-06,48.150002,48.459999,47.720001,48.419998,2345900,39.91562
2005-06-07,48.400002,49.200001,48.369999,48.82,1759700,40.245366
2005-06-08,48.869999,49.200001,48.700001,48.889999,1849500,40.303071
2005-06-09,48.939999,49.380001,48.700001,49.279999,1698900,40.624572
2005-06-10,49.27,49.400002,49,49.25,1341900,40.732091
2005-06-13,49.18,49.73,49.16,49.34,1134900,40.806525
2005-06-14,49.139999,49.580002,49.009998,49.299999,1956600,40.773442
2005-06-15,49.599998,49.790001,49.25,49.529999,1604200,40.963663
2005-06-16,49.400002,49.599998,49.380001,49.5,1637100,40.938853
2005-06-17,49.700001,49.720001,49.400002,49.630001,1594500,41.04637
2005-06-20,49.48,49.700001,49.23,49.5,1075000,40.938853
2005-06-21,49.5,49.75,49.099998,49.68,1492500,41.087721
2005-06-22,49.75,51.619999,49.5,51.580002,3840200,42.659113
2005-06-23,51.5,52.200001,51.080002,51.25,3471900,42.386186
2005-06-24,51.049999,51.490002,50.560001,50.860001,2865400,42.063638
2005-06-27,50.650002,50.900002,49.93,50.119999,2126800,41.451621
2005-06-28,50.139999,50.470001,49.82,50.139999,1747300,41.468162
2005-06-29,50.150002,50.290001,49.709999,49.959999,1642200,41.319294
2005-06-30,49.880001,50.150002,49.5,49.599998,1544400,41.021556
2005-07-01,50,50.419998,49.66,49.779999,1079900,41.170425
2005-07-05,49.779999,50.32,49.220001,50.110001,1171100,41.443352
2005-07-06,50.299999,50.310001,49.98,50.169998,1314300,41.492973
2005-07-07,49.5,49.73,49.02,49.380001,2025700,40.839608
2005-07-08,49.400002,50.040001,49.25,49.740002,2156900,41.137345
2005-07-11,50.200001,50.950001,50.16,50.849998,2151800,42.055365
2005-07-12,50.73,50.73,49.599998,49.700001,2262100,41.104263
2005-07-13,52.099998,52.310001,50.009998,50.380001,11530500,41.666655
2005-07-14,50.700001,51.279999,50.599998,51.23,3163300,42.369644
2005-07-15,51.23,53.669998,51.23,53.619999,4671300,44.346288
2005-07-18,53.5,53.52,52.799999,52.880001,2111900,43.734274
2005-07-19,52.950001,53.490002,52.77,53.470001,1654200,44.222232
2005-07-20,53.27,53.549999,52.630001,53.299999,2626800,44.081633
2005-07-21,53.18,53.32,52.700001,53.080002,1330900,43.899684
2005-07-22,53.25,53.650002,52.889999,53.450001,1105800,44.205691
2005-07-25,53.310001,54.25,53.130001,54,3319800,44.660566
2005-07-26,54,54.029999,53.34,53.73,1647800,44.437263
2005-07-27,53.720001,53.720001,53.099998,53.459999,1240700,44.21396
2005-07-28,53.439999,53.98,53.330002,53.849998,1093800,44.536508
2005-07-29,53.900002,53.990002,53.119999,53.189999,1108100,43.990657
2005-08-01,52.240002,53.509998,52.240002,52.970001,1449400,43.808709
2005-08-02,52.880001,53.07,52.34,52.799999,1281300,43.668109
2005-08-03,52.650002,52.919998,52.200001,52.639999,923400,43.535781
2005-08-04,52.299999,52.630001,52.110001,52.580002,1173100,43.48616
2005-08-05,52.5,52.540001,51.299999,51.41,1708800,42.518513
2005-08-08,51.41,52.299999,51,52,1526100,43.006471
2005-08-09,52.299999,52.57,51.91,52.130001,900600,43.113988
2005-08-10,52.200001,53.099998,52.060001,52.139999,1330700,43.122258
2005-08-11,52.16,52.509998,51.75,52.099998,899200,43.089175
2005-08-12,51.950001,52.25,51.59,52.110001,677400,43.097447
2005-08-15,52.200001,52.27,51.66,51.849998,1012200,42.882413
