Stock Quotes for HP,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2005-01-04,32.630001,32.82,32.209999,32.27,762800,14.430992
2005-01-05,32.119999,32.509998,32.009998,32.009998,530400,14.314721
2005-01-06,31.91,33.099998,31.77,32.759998,854800,14.650117
2005-01-07,32.759998,32.759998,31.35,31.57,965000,14.117955
2005-01-10,32,32.52,31.889999,31.969999,584400,14.296833
2005-01-11,31.969999,32.099998,31.549999,31.92,542400,14.274474
2005-01-12,31.93,32.66,31.76,32.57,793000,14.565151
2005-01-13,32.75,33.259998,32.529999,32.66,828200,14.605398
2005-01-14,32.91,32.990002,32.369999,32.98,555000,14.748501
2005-01-18,33.400002,34.099998,33.34,33.650002,995000,15.048122
2005-01-19,33.66,34.59,33.66,34.099998,1182600,15.249359
2005-01-20,34.009998,34.290001,33.130001,33.650002,1026000,15.048122
2005-01-21,34,34.779999,33.889999,34.279999,882000,15.329854
2005-01-24,34.950001,35.09,34.709999,34.830002,934600,15.575813
2005-01-25,35.029999,35.360001,34.07,34.59,703400,15.468485
2005-01-26,35.5,35.810001,35.099998,35.66,1721800,15.946984
2005-01-27,36,36.599998,35.84,36.560001,1892800,16.34946
2005-01-28,36.560001,37.25,36.290001,37.220001,1633600,16.644609
2005-01-31,37.220001,37.950001,36.759998,37.900002,1242200,16.948702
2005-02-01,37.98,38.080002,37.689999,37.82,982400,16.912926
2005-02-02,37.919998,39,37.869999,38.990002,1266000,17.436145
2005-02-03,38.990002,38.990002,37.950001,38.830002,789200,17.364594
2005-02-04,38.919998,39.139999,38.540001,39.110001,1336600,17.489808
2005-02-07,39.099998,39.290001,38.080002,38.610001,600000,17.26621
2005-02-08,38.599998,38.919998,38.299999,38.560001,797000,17.243851
2005-02-09,38.98,39.59,38.189999,38.470001,807400,17.203603
2005-02-10,38.75,39.5,38.400002,39.5,1033400,17.664214
2005-02-11,39.400002,39.98,39.119999,39.91,886800,17.885145
2005-02-14,39.91,40.040001,39.299999,39.619999,1082800,17.755185
2005-02-15,39.700001,40.049999,39.400002,39.73,1081600,17.80448
2005-02-16,39.740002,40.970001,39.720001,40.830002,1313200,18.297431
2005-02-17,40.990002,41.150002,40.009998,40.099998,1256000,17.97029
2005-02-18,40.25,40.700001,40.080002,40.630001,925800,18.207804
2005-02-22,40.970001,40.970001,39.669998,39.73,941600,17.80448
2005-02-23,39.73,40.25,39.73,40.02,922800,17.93444
2005-02-24,40.25,40.5,39.360001,40.150002,1356600,17.992698
2005-02-25,40.150002,40.82,39.830002,40.52,1241600,18.158508
2005-02-28,40.619999,41.43,39.369999,40.040001,1458600,17.943403
2005-03-01,40.040001,40.450001,39.360001,39.740002,1458000,17.808962
2005-03-02,39.540001,40.25,39.439999,39.73,922800,17.80448
2005-03-03,39.82,41.220001,39.82,41.029999,1219600,18.387058
2005-03-04,41.25,41.360001,40.650002,41.099998,1028600,18.418427
2005-03-07,41.110001,41.200001,40.41,40.73,652600,18.252617
2005-03-08,40.73,41.189999,40.189999,40.32,1195200,18.068881
2005-03-09,40.52,40.68,38.810001,38.880001,1655000,17.423564
2005-03-10,38.779999,38.779999,37.389999,37.790001,1350600,16.935095
2005-03-11,37.639999,39.02,37.630001,38.080002,836800,17.065055
2005-03-14,38.200001,38.75,37.400002,38.560001,854200,17.28016
2005-03-15,39.060001,39.77,38.509998,38.509998,1904800,17.257752
2005-03-16,38.41,39.450001,38.209999,38.700001,1322000,17.342899
2005-03-17,39.459999,39.709999,38.849998,38.98,985600,17.468377
2005-03-18,39.080002,39.43,38.84,39.299999,1259400,17.611781
2005-03-21,39.450001,39.540001,38.639999,39,545000,17.47734
2005-03-22,39.25,40.34,39.110001,39.209999,1085400,17.571448
2005-03-23,39.009998,39.009998,37.560001,38.009998,1209000,17.033684
2005-03-24,38.700001,38.950001,38.189999,38.369999,1051200,17.195013
