Stock Quotes for IHT,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2005-01-04,1.5,1.58,1.32,1.44,14300,1.335086
2005-01-05,1.39,1.4,1.35,1.38,10500,1.279458
2005-01-06,1.38,1.43,1.38,1.43,7500,1.325815
2005-01-07,1.41,1.41,1.4,1.4,500,1.298
2005-01-10,1.41,1.43,1.38,1.43,10600,1.325815
2005-01-11,1.33,1.43,1.3,1.41,8000,1.307272
2005-01-12,1.29,1.39,1.29,1.38,10300,1.279458
2005-01-13,1.32,1.39,1.29,1.39,2000,1.298136
2005-01-14,1.38,1.39,1.31,1.37,3600,1.279458
2005-01-18,1.4,1.5,1.4,1.46,3100,1.373535
2005-01-19,1.5,1.5,1.45,1.45,2200,1.364128
2005-01-20,1.45,1.45,1.4,1.4,1600,1.317089
2005-01-21,1.39,1.4,1.39,1.4,3900,1.317089
2005-01-24,1.3,1.3,1.3,1.3,6800,1.223011
2005-01-25,1.25,1.44,1.22,1.3,22100,1.223011
2005-01-26,1.4,1.5,1.4,1.5,3900,1.411166
2005-01-27,1.4,1.46,1.35,1.35,2000,1.27005
2005-01-28,1.45,1.45,1.45,1.45,500,1.364128
2005-01-31,1.5,1.5,1.35,1.41,2200,1.326496
2005-02-01,1.41,1.41,1.41,1.41,0,1.326496
2005-02-02,1.31,1.41,1.31,1.41,1000,1.326496
2005-02-03,1.33,1.33,1.33,1.33,500,1.251234
2005-02-04,1.33,1.33,1.33,1.33,0,1.251234
2005-02-07,1.45,1.45,1.45,1.45,1200,1.364128
2005-02-08,1.45,1.45,1.45,1.45,0,1.364128
2005-02-09,1.46,1.46,1.46,1.46,200,1.373535
2005-02-10,1.45,1.52,1.42,1.42,2900,1.335904
2005-02-11,1.42,1.42,1.42,1.42,0,1.335904
2005-02-14,1.35,1.38,1.3,1.38,6000,1.298273
2005-02-15,1.3,1.41,1.28,1.29,9800,1.213603
2005-02-16,1.28,1.28,1.28,1.28,2000,1.204195
2005-02-17,1.33,1.33,1.23,1.32,18700,1.241827
2005-02-18,1.35,1.35,1.35,1.35,200,1.27005
2005-02-22,1.35,1.35,1.35,1.35,0,1.27005
2005-02-23,1.3,1.3,1.23,1.23,5100,1.157157
2005-02-24,1.35,1.41,1.3,1.3,10400,1.223011
2005-02-25,1.24,1.24,1.24,1.24,700,1.166564
2005-02-28,1.27,1.27,1.27,1.27,1300,1.194788
2005-03-01,1.28,1.28,1.26,1.26,12600,1.18538
2005-03-02,1.28,1.28,1.2,1.25,2400,1.175972
2005-03-03,1.25,1.25,1.25,1.25,500,1.175972
2005-03-04,1.25,1.39,1.15,1.25,7700,1.175972
2005-03-07,1.25,1.25,1.25,1.25,0,1.175972
2005-03-08,1.25,1.25,1.25,1.25,800,1.175972
2005-03-09,1.25,1.25,1.25,1.25,0,1.175972
2005-03-10,1.25,1.25,1.25,1.25,0,1.175972
2005-03-11,1.26,1.26,1.26,1.26,2500,1.18538
2005-03-14,1.26,1.26,1.26,1.26,0,1.18538
2005-03-15,1.3,1.37,1.3,1.37,1400,1.288865
2005-03-16,1.31,1.31,1.31,1.31,200,1.232419
2005-03-17,1.31,1.31,1.31,1.31,0,1.232419
2005-03-18,1.32,1.32,1.3,1.3,4500,1.223011
2005-03-21,1.3,1.3,1.3,1.3,0,1.223011
2005-03-22,1.3,1.3,1.26,1.26,3000,1.18538
2005-03-23,1.26,1.26,1.26,1.26,0,1.18538
2005-03-24,1.26,1.26,1.26,1.26,0,1.18538
2005-03-28,1.26,1.26,1.26,1.26,0,1.18538
2005-03-29,1.26,1.28,1.25,1.28,2600,1.204195
2005-03-30,1.26,1.31,1.25,1.31,1800,1.232419
2005-03-31,1.31,1.31,1.31,1.31,0,1.232419
2005-04-01,1.31,1.31,1.31,1.31,0,1.232419
2005-04-04,1.31,1.31,1.31,1.31,0,1.232419
2005-04-05,1.28,1.28,1.25,1.25,2000,1.175972
