Stock Quotes for PCG,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2005-01-04,33,33.189999,32.77,32.77,1368000,22.100443
2005-01-05,32.68,32.849998,32.369999,32.369999,2057200,21.830678
2005-01-06,32.380001,32.450001,32.119999,32.150002,2289800,21.682309
2005-01-07,32.16,32.360001,31.92,31.92,2197800,21.527193
2005-01-10,31.83,32.709999,31.83,32.560001,2927000,21.958817
2005-01-11,32.5,32.599998,32.119999,32.279999,1339400,21.76998
2005-01-12,32.349998,32.689999,32.209999,32.669998,1337100,22.033
2005-01-13,32.529999,33.139999,32.529999,32.900002,1557100,22.188117
2005-01-14,32.880001,33.5,32.880001,33.400002,1947000,22.525322
2005-01-18,33.299999,33.700001,33.080002,33.580002,1351500,22.646717
2005-01-19,33.5,33.93,33.5,33.77,1848200,22.774854
2005-01-20,33.650002,33.700001,33.25,33.549999,2292000,22.626482
2005-01-21,33.700001,34.23,33.59,34,4064900,22.929968
2005-01-24,33.950001,34.5,33.950001,34.400002,2427000,23.199733
2005-01-25,34.380001,34.740002,34.07,34.23,1447200,23.085082
2005-01-26,34.18,34.599998,34.18,34.450001,1296900,23.233453
2005-01-27,34.27,34.740002,34,34.560001,1830400,23.307639
2005-01-28,34.5,34.630001,34.18,34.599998,1215100,23.334613
2005-01-31,34.75,35.02,34.650002,35,2038600,23.604379
2005-02-01,35.099998,35.299999,34.84,34.970001,3049900,23.584147
2005-02-02,35.099998,35.400002,34.950001,35.240002,2173500,23.766238
2005-02-03,35.150002,35.25,34.77,35.049999,2255800,23.638099
2005-02-04,35.09,35.5,35.040001,35.5,1706000,23.941584
2005-02-07,35.310001,35.580002,35.310001,35.419998,1021300,23.88763
2005-02-08,35.299999,36,35.209999,35.959999,1498700,24.251812
2005-02-09,35.84,36.060001,35.400002,35.450001,2447400,23.907864
2005-02-10,35.52,35.939999,35.369999,35.84,1329700,24.170884
2005-02-11,35.650002,36.080002,35.580002,35.759998,1351600,24.11693
2005-02-14,35.77,36,35.77,35.98,1574900,24.265301
2005-02-15,35.990002,36.119999,35.82,35.860001,1186500,24.184372
