EXCHANGE%3DNYSEARCA
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1460467800,204.24,204.24,204.2,125148
1,204.37,204.5,204.08,824276
2,204.64,204.78,204.21,806754
3,204.49,204.7,204.45,463572
4,204.1,204.64,204.1,877443
5,203.94,204.12,203.79,949179
6,203.87,203.94,203.7,599509
7,204.12,204.68,203.86,2020150
8,204.32,204.49,204.09,683219
9,205.02,205.08,204.33,1455791
10,205.23,205.231,204.88,981817
11,205.47,205.47,205.08,984180
12,205.41,205.565,205.38,695791
13,205.45,205.56,205.37,638420
14,205.42,205.52,205.38,387596
15,205.29,205.49,205.27,340810
16,205.19,205.34,205.17,310478
17,205.3,205.34,205.18,215642
18,205.39,205.4,205.28,178716
19,205.54,205.63,205.38,445157
20,205.48,205.63,205.43,229321
21,205.61,205.73,205.48,301780
22,205.53,205.66,205.5,285223
23,205.41,205.58,205.353,402295
24,205.45,205.53,205.38,331418
25,205.34,205.685,205.31,323381
26,205.53,205.63,205.33,308071
27,205.675,205.7,205.385,251665
28,205.64,205.73,205.565,323103
29,205.85,205.91,205.63,696827
30,205.72,205.86,205.7,535109
31,205.855,205.88,205.7,420009
32,205.86,206,205.84,701578
33,205.95,206,205.83,449624
34,206.2,206.25,205.94,1118178
35,206.189,206.25,206.15,450749
36,205.99,206.19,205.87,707228
37,205.81,206.14,205.78,920478
38,205.7,206,205.69,929335
39,205.99,206.01,205.64,7619492
144,207.07,207.08,207.015,203913
145,207.22,207.39,206.93,1382640
146,207.32,207.385,207.1,1079495
147,207.3,207.45,207.18,915860
148,207.18,207.32,207.15,599318
149,207.33,207.38,207.17,635339
150,207.35,207.4,207.23,537481
151,206.94,207.4,206.85,1067578
152,207.14,207.17,206.875,614270
153,207.02,207.44,207.02,660026
154,207.3,207.33,207.02,585336
155,207.29,207.32,207.13,531570
156,207.46,207.48,207.22,622778
157,207.74,207.8,207.48,1174624
158,207.58,207.77,207.55,462215
159,207.58,207.62,207.46,476834
160,207.49,207.6,207.365,358067
161,207.29,207.6,207.26,429548
162,207.41,207.45,207.215,342493
163,207.37,207.41,207.25,216290
164,207.45,207.55,207.35,378320
165,207.4,207.535,207.39,178978
166,207.245,207.44,207.2,324564
167,207.26,207.31,207.15,389081
168,207.35,207.43,207.23,290746
169,207.53,207.53,207.33,383289
170,207.53,207.59,207.49,308641
171,207.64,207.7,207.45,492225
172,207.77,207.79,207.5,403523
173,207.62,207.87,207.51,587363
174,207.53,207.71,207.52,397089
175,207.72,207.74,207.52,318312
176,207.63,207.74,207.6,240597
177,207.59,207.65,207.56,292590
178,207.83,207.87,207.55,661734
179,207.79,207.89,207.76,506933
180,207.82,207.865,207.73,570330
181,208.015,208.07,207.81,888921
182,207.84,208.02,207.78,924057
183,208.04,208.1,207.83,3812033
288,208.07,208.09,208.03,263641
289,207.95,208.15,207.82,835536
290,208.005,208.05,207.83,599946
291,207.71,208,207.61,667054
292,207.85,207.87,207.62,647077
293,207.825,207.9,207.77,270681
294,208.01,208.05,207.82,640727
295,207.89,208.08,207.88,314120
296,207.84,208,207.78,280287
297,207.99,208.175,207.8,463228
298,208.09,208.13,207.98,276868
299,208.13,208.2,208.02,284959
300,208.08,208.13,207.91,364938
301,208.33,208.37,208.06,665681
302,208.36,208.37,208.24,229778
303,208.32,208.35,208.22,182542
304,208.29,208.345,208.22,179022
305,208.38,208.4,208.29,168752
306,208.32,208.405,208.26,274988
307,208.26,208.33,208.18,251474
308,208.41,208.53,208.27,434233
309,208.45,208.49,208.38,220098
310,208.55,208.6,208.45,305506
311,208.38,208.56,208.37,240195
312,208.26,208.37,208.22,237574
313,208.18,208.32,208.17,234812
314,208.18,208.29,208.16,322600
315,208.08,208.179,208.06,372465
316,208.18,208.18,207.96,422161
317,208.2,208.23,208.1,344625
318,208.17,208.3,208.14,398826
319,208.019,208.16,207.9,295322
320,208.04,208.11,208,205869
321,208.1,208.23,208.01,296857
322,208.15,208.24,208.105,182929
323,208.09,208.145,207.99,234665
324,208.08,208.19,208.02,195912
325,208.17,208.27,208.06,404411
326,208.08,208.23,208.06,487607
327,208.02,208.16,207.94,1662875
432,208.01,208.02,208,251364
433,207.89,208.11,207.83,819212
434,207.85,207.97,207.81,594575
435,207.89,208,207.81,509441
436,207.73,207.915,207.72,539437
437,207.71,207.74,207.58,594341
438,207.83,207.83,207.62,375136
439,207.98,208.05,207.8,527162
440,208,208.04,207.91,246893
441,207.83,208.03,207.83,304466
442,207.94,207.99,207.83,237324
443,207.96,208.02,207.88,401486
444,208.01,208.09,207.96,255654
445,207.94,208.04,207.9,257817
446,207.93,208.01,207.905,190172
447,207.93,207.98,207.92,195320
448,207.93,207.95,207.88,192015
449,207.93,207.96,207.88,160375
450,207.97,207.991,207.9,168994
451,207.83,207.971,207.79,262490
452,207.81,207.84,207.76,118975
453,207.73,207.85,207.73,205220
454,207.71,207.79,207.68,215947
455,207.631,207.74,207.61,208693
456,207.69,207.72,207.61,252976
457,207.46,207.69,207.445,437921
458,207.52,207.55,207.44,222192
459,207.56,207.62,207.51,203831
460,207.55,207.675,207.535,246206
461,207.51,207.59,207.4,315804
462,207.68,207.68,207.475,318676
463,207.71,207.74,207.62,352662
464,207.71,207.74,207.65,208655
465,207.88,207.89,207.69,430656
466,207.81,207.89,207.8,308762
467,207.79,207.89,207.76,406207
468,207.875,207.93,207.785,412888
469,207.8,207.95,207.8,495809
470,207.73,207.81,207.66,885856
471,207.8,207.94,207.71,5777240
864,207.09,207.14,207.08,196262
865,207.49,207.49,207,742988
866,207.78,207.78,207.45,605527
867,207.8,207.87,207.665,532166
868,208.21,208.34,207.8,1035965
869,208.325,208.49,208.1,857938
870,208.55,208.565,208.32,486335
871,208.585,208.75,208.55,555330
872,208.52,208.7,208.5,343771
873,208.63,208.84,208.52,425207
874,208.63,208.7,208.58,288394
875,208.68,208.79,208.64,453846
876,208.69,208.83,208.65,328349
877,208.71,208.76,208.61,380359
878,208.66,208.83,208.65,669967
879,208.71,208.76,208.65,216099
880,208.75,208.78,208.68,164834
881,208.76,208.81,208.72,246935
882,208.9,208.955,208.77,425309
883,209.03,209.11,208.89,643586
884,209.019,209.06,208.99,170115
885,208.92,209.03,208.91,245502
886,208.83,208.94,208.78,257945
887,208.71,208.85,208.685,239054
888,208.81,208.87,208.68,231430
889,208.803,208.86,208.765,187108
890,208.93,209,208.805,301114
891,208.95,208.97,208.9,207687
892,208.86,208.96,208.75,304682
893,208.97,209,208.83,242015
894,208.95,209.08,208.94,345428
895,209.09,209.15,208.93,329338
896,209.18,209.199,209.07,356048
897,209.11,209.27,209.04,387444
898,209.05,209.125,209,255412
899,209.1,209.1,208.96,351824
900,209.04,209.125,208.98,354550
901,209.06,209.15,209,388048
902,209.15,209.26,209.05,657760
903,209.25,209.27,209.1,5366928
a1461072600,209.75,209.78,209.7,176419
1,209.64,209.79,209.55,910800
2,209.79,209.795,209.47,913894
3,209.98,210,209.7,676474
4,210.06,210.15,209.92,744170
5,210.14,210.2,210.04,563280
6,209.97,210.2,209.96,667895
7,209.91,210.14,209.87,588941
8,209.78,209.91,209.725,465833
9,210.06,210.1,209.76,612655
10,210.08,210.16,209.98,361264
11,209.869,210.1,209.82,281532
12,209.76,209.889,209.739,271794
13,209.9,209.93,209.67,448457
14,209.78,209.91,209.75,211858
15,209.32,209.78,209.31,599526
16,209.26,209.39,209.26,427357
17,209,209.32,209,469468
18,209.19,209.225,208.97,494980
19,209.13,209.2,209.09,231205
20,208.97,209.16,208.955,261839
21,209.31,209.32,208.94,514713
22,209.35,209.41,209.27,397857
23,209.36,209.49,209.31,270532
24,209.49,209.58,209.34,228401
25,209.4,209.52,209.38,226444
26,209.65,209.68,209.39,285817
27,209.67,209.72,209.59,222080
28,209.68,209.82,209.58,488443
29,209.67,209.76,209.62,354927
30,209.57,209.75,209.57,234002
31,209.55,209.68,209.5,275593
32,209.75,209.77,209.54,262928
33,209.57,209.765,209.56,326364
34,209.59,209.66,209.46,282236
35,209.73,209.88,209.58,421230
36,209.81,209.855,209.7,360962
37,209.87,209.9,209.76,565355
